
File Name, Height, Width, File Size(KB),Bits_Per_Pixel,Capacity,Estimated_Capacity(Bytes),Bits_per_non-zero_Coefficient
003.jpg,881,591,89.25,0.011247025472899394,732.0,11056.0,0.05001580075672813
10102097.jpg,640,480,81.646484375,0.014895833333333334,572.0,8002.0,0.050002731792602305
2065_03.jpg,506,761,97.73046875,0.01824102881064545,878.0,12390.0,0.05003882568336765
33.jpg,536,800,79.08984375,0.010988805970149253,589.0,8389.0,0.05005789803571618
adrar-madet-massif-525421-lw.jpg,768,1024,147.091796875,0.01123046875,1104.0,14833.0,0.05000141534803408
